data_ymd;ano;mes;area;epoca;recuperacao;ndvi;Frequencia
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,477777778;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,117647059;0,980392157
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,258064516;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,427083333;0,901960784
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,35483871;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,409326425;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,464285714;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,482352941;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,275862069;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,301369863;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,348066298;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,403141361;0,780392157
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,238636364;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,075;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,333333333;7,874509804
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,279411765;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;-0,05;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,05;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,148514851;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,340909091;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,214285714;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,019305019;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,397849462;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,053191489;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,402439024;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,290697674;1,784313725
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,306122449;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,16751269;0,952941176
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,084745763;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,097826087;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,455555556;1
